date,"conversation_id",essid,lemmas,sentiment,tweet,username
"Feb 21, 2021 @ 07:35:16.000","1,250,706,870,827,913,216","yandex_go","слушать вменяемый лупите полтора косарь поездка минута центр загрузка полно пустой такси центр утомить цена процент высоко ежедневно рожон сервис улучшиться никак платить тариф",1,"@yandex_go Слушайте, вы там вменяемые? Лупите по полтора косаря поездки по 20-25 минут в центре. Не надо про загрузку, полно пустых такси в центре. Просто утомили ценами на 50 процентов выше ежедневно. С какого рожна вдруг? Ваш сервис не улучшился никак. Платите себе сами за такие тарифы.",netsenko
"Feb 21, 2021 @ 08:01:04.000","1,250,706,870,827,913,216","yandex_go","стоимость поездка меняться ежесекундно зависимость множество фактор например дорожный условие погодный условие количество свободный машина желать уехать конкретный момент далее поэтому видеть разный цена новый запрос","0.5","@netsenko Стоимость поездки может меняться ежесекундно в зависимости от множества факторов, например, дорожных условий, погодных условий, количества свободных машин рядом и желающих уехать в конкретный момент времени и т.д. Поэтому вы можете видеть разные цены при каждом новом запросе.","yandex_go"
"Feb 21, 2021 @ 07:44:42.000","1,250,706,870,827,913,216","yandex_go","здравствовать александр цена поездка рассчитываться доля секунда исходить текущий ситуация дорога количество свободный машина наличие подписка никак влиять устройство никак отношение стоимость поездка","0.5","@netsenko Здравствуйте, Александр! Цена за поездку рассчитывается в доли секунд, исходя из текущий ситуации на дорогах и количества свободных машин. Наличие подписки никак не влияет на неё. Другое устройство также никак не может иметь отношения к стоимости поездки.","yandex_go"
"Feb 21, 2021 @ 08:13:57.000","1,250,706,870,827,913,216","yandex_go","взлет цена умолчали удивительный нечего ездить прошлый поездка представлять цена маршрут сплошной лапша ухо коллега отвалиться расплачивайтесь искусственно поднять цена",0,"@yandex_go Про взлёт цен умолчали. Не удивительно, сказать нечего. Ездил почти каждый день. В прошлом году 365 поездок. Прекрасно представляю цены и маршруты. Сплошная лапша на уши. Коллеги уже отвалились от вас. Расплачивайтесь по этим искусственно поднятым ценам с собой сами.",netsenko
"Jan 1, 2021 @ 17:51:55.000","1,250,706,870,827,913,216","yandex_go","здравствовать поведение водитель разумеется приветствовать написать номер телефон поездка посмотреть водитель отказаться выполнение заказ захотеть отменять",0,"@FateevAl Здравствуйте! Мы такое поведение водителей, разумеется, не приветствуем. Напишите, пожалуйста, нам в DM ваш номер телефона и время этой поездки. Посмотрим, почему водитель отказался от выполнения заказа и не захотел сам его отменять.","yandex_go"
"Jan 1, 2021 @ 17:49:14.000","1,250,706,870,827,913,216","yandex_go","просить наказать водитель вернуть деньги приехать отказаться ехать отказаться отменять итог такси возможность вызвать похваляетесь",0,"@yandex_go Прошу наказать водителя и вернуть мне деньги,приехал после этого отказался ехать и отказался отменять в итоге я без такси и без возможности другое вызвать!почему вы такое похваляетесь",FateevAl
"Feb 25, 2021 @ 14:58:57.000","1,250,706,870,827,913,216","yandex_go","добрый водитель оскорблять пассажир распускать рука водитель ударить девушка русский телка справка травмпункт заявление мвд написать мудак работать написать проверить",0,"@yandex_go Не доброго дня. Почему ваши водители, оскорбляют пассажиров и распускают руки? Ваш водитель, ударил девушку, за то что, она русская тёлка! Справка с травмпункта есть, заявление в МВД написано. Что за мудаки у вас работают? И в сп написали, проверьте.  https://t.co/dGxCpSatX7",GarryStark8
"Feb 25, 2021 @ 15:01:30.000","1,250,706,870,827,913,216","yandex_go","здравствовать водитель должный поступать грубый нарушение правило сервис написать номер телефон сделать заказ проверить выяснить выйти",0,"@GarryStark8 Здравствуйте! Водители не должны так поступать, это грубейшее нарушение правил сервиса. Напишите, пожалуйста, номер телефона, с которого был сделан заказ нам в DM. Мы всё проверим и выясним, почему так вышло.","yandex_go"
"Jan 5, 2021 @ 21:16:15.000","1,300,874,287,243,554,816","yandex_go","поставить эдита звезда яндекс такси кинопоиск написать отзыв отзовик хороший случиться",0,"я хочу поставить этому эдиту 5 звёзд в яндекс такси 10/10 на кинопоиске и написать отзыв в отзовике как лучшее что случилось в моей жизни  https://t.co/kDKtPCaYhu","oh_soobinie"
"Jan 24, 2021 @ 23:01:19.000","1,311,414,330,710,257,920","yandex_go","живой дом поезд гарри поттер таксист яндекс такси отклонить заказ герой приехать подруга помогать выбраться говно",0,"Из живого там был только один дом и поезд из Гарри Поттера, три таксиста Яндекс.Такси, которые отклонили мой заказ (четвёртый как герой приехал уже) и моя подруга, которая помогала мне выбраться из этого говна",slkxnl
"Jan 11, 2021 @ 13:58:38.000","1,323,134,503,381,044,992","yandex_go","вообще убрать пункт водитель маска никак реагировать подобный обращение водитель маска случай случай заражение томск шутка",0,"А сейчас @Uber_Russia вообще убрали пункт ""водитель без маски"" и никак не реагируют на подобные обращения. Водители без масок в 90% случаев. 26к случаев заражения в Томске это шутка какая-то?",noproblama
"Feb 17, 2021 @ 14:28:05.000","1,324,488,438,683,500,544","yandex_go","секс водитель яндекс такси like цель безопасность надеть маска перчатка поездка яндекс навигатор составить минута","0.5","Секс с водителем Яндекс.такси be like в целях безопасности наденьте маску и перчатки поездка по Яндекс навигатору составит 11 минут","divine__indigo"
"Feb 3, 2021 @ 03:18:24.000","1,326,178,514,383,630,336","yandex_go","февраль черный черный россия силовик подбежать начать кричать бить машина вытащить трое задержать","0.5","2 февраля 2021 - Чёрный День Яндекс-Такси и Чёрный День России! Силовики подбежали к Яндекс-Такси, начали кричать и бить машину, вытащили из нее троих человек и задержали их.  https://t.co/kT3eQFkFYQ",gdeto4
"Jan 2, 2021 @ 14:23:00.000","1,335,820,585,528,676,352","yandex_go","опаздывать открываться личность яндекс такси",0,"@arcticrazy_ когда я опаздываю, во мне открывается моя вторая личность - яндекс такси...",kXT9lUJ8xR71694
"Jan 30, 2021 @ 11:59:00.000","1,336,454,426,853,302,272","yandex_go","новый выпуск инсайдер специалист такси софия стручков рассказать работа самый крупный интервью узнавать яндекс проходить собеседование","0.5","В новом выпуске #Инсайдеры специалист по перформанс-маркетингу @yandex .Такси София Стручкова рассказала о работе в одной из самых крупных It-компаний! Из интервью вы узнаете о том, как в #Яндекс проходят собеседования и стажировки🚕   https://t.co/i2ogLr1Qvi  https://t.co/fUeodVeH1R",Smart203ykt
"Feb 16, 2021 @ 13:01:42.000","1,338,773,305,579,491,328","yandex_go","мех еда дом художник звук опера радио орфей яндекс такси почувствовать барыней",1,"Вся в мехах еду в дом художника под звуки оперы с радио Орфей.  Яндекс такси. Почувствуй себя барыней за 300₽","Viper_scale"
"Jan 11, 2021 @ 04:45:36.000","1,342,412,539,850,702,592","yandex_go","вообще везти яндекс такси последний пара неделя например ухмыляться верить новомодный болячка вынуждать надеть маска кстати маска водитель наверное таксист бизнес свой",0,"Вообще, мне как-то «везёт» с Яндекс.Такси последние пару недель. Например, на днях один ухмылялся что я ‘верю в новомодную болячку’ и вынуждаю его надеть маску. Кстати в масках мало водителей. Ну наверное потому что они так то не таксисты, бизнес свой, а это так...",LeftGuest
"Jan 8, 2021 @ 13:52:01.000","1,343,419,197,125,259,520","yandex_go","попробовать найти жертва водитель коллективный жалоба накатать","0.5","@farada_letova @mGeeKey_ @bormatograf @yandex @Uber_Russia можете попробовать найти других жертв водителя и коллективную жалобу накатать","Indrik_Zverr"
"Jan 8, 2021 @ 13:50:34.000","1,343,419,197,125,259,520","yandex_go","вроде снимать поставить известность водитель значок вестись видонаблюдение салон административный штраф закон защита личный информация",0,"@farada_letova @mGeeKey_ @bormatograf @yandex @Uber_Russia вроде как снимать можно только если вы поставлены об этом в известность, если у водителя не было  значка""ведется видонаблюдение в салоне"" это административный штраф.  Закон о защите личной  информации или что-то такое","Indrik_Zverr"
"Jan 3, 2021 @ 22:48:07.000","1,343,525,493,040,177,152","yandex_go","написать адрес наверняка левый совершенно зря убедить пассажир геолокация работать работать работать принцип обновлять геоданные нажатие кнопка заказать",0,"@yandex_go @POLLINOKK не напишет. потому что адрес наверняка был левый. вы совершенно зря убедили пассажира, что ваша геолокация работает. она не работает и не может работать в принципе. вы не обновляете геоданные даже по нажатию кнопки заказать.",xerogene
"Jan 10, 2021 @ 00:21:23.000","1,344,303,711,410,147,328","yandex_go","оплата жопа предусмотреть яндекс такси",0,"@dobriy_kroleg Оплата жопой не предусмотрена в Яндекс такси 🥲","woozy_cookie"
"Jan 1, 2021 @ 11:16:00.000","1,344,503,035,448,467,456","yandex_go","попробовать приложение яндекс доступность оставлять желать хороший знать такси заказать алиса выход","0.5","@blackmoon846 @sakmarius Надо будет попробовать, но приложение яндекс.го по доступности оставляет желать лучшего! Хотя я знаю, что такси можно заказать через Алису! Это тоже выход!",Smeliyvasil132
"Jan 1, 2021 @ 12:48:06.000","1,344,772,527,193,731,072","yandex_go","написать свой вопрос попробовать проверить выяснить произойти","0.5","@missSamoironiya @ODNALIZA Напишите свой вопрос нам в ДМ, попробуем всё проверить и выяснить почему так произошло.","yandex_go"
"Jan 1, 2021 @ 07:41:53.000","1,344,797,951,097,524,224","yandex_go","пересчитать разница настолько мизерный заметишь надбавка идти стоимость подача машина поездка",0,"@baby_cerber @yandex_go Даже если и пересчитано, разница будет настолько мизерной, что ты и не заметишь Надбавка идёт к стоимости подачи машины, а не ко всей поездке",TheMo3art
"Jan 1, 2021 @ 03:09:51.000","1,344,797,951,097,524,224","yandex_go","пересчитать сумма такси прийтись пешком чесать перекрытие дорога гаец платить ожидание","0.5","А пересчитает ли @yandex_go сумму за такси, до которого пришлось пешком чесать из-за перекрытия дороги гайцами и ещё платить за ожидание?  https://t.co/sP7P2c7GSp","baby_cerber"
"Jan 1, 2021 @ 04:51:58.000","1,344,806,681,344,172,032","yandex_go","здравствовать сожалеть водитель отказаться выполнять заказ подсказать деталь номер телефон проверить",0,"@MashaHalls Здравствуйте! Сожалеем, что водитель отказался выполнять заказ. Подскажете нам его детали и ваш номер телефона в DM? Всё проверим.","Uber_Russia"
"Jan 1, 2021 @ 06:36:16.000","1,344,833,292,944,760,832","yandex_go","яндекс популярный поэтому случай водитель такси раскраска тверской номер приехать москва новый кататься встречать пассажир зашквара задний сидение улечься",1,"@evaglimova Да везде такие есть,просто Яндекс очень популярный,поэтому у них такие случаев больше. Но этот водитель без такси раскраски,с Тверскими номерами,приехал в Москве Новый год кататься,но вот так встречать пассажиров - просто зашквар. Ещё бы на задние сидения улёгся",NikkiFuture
"Jan 1, 2021 @ 05:30:17.000","1,344,833,292,944,760,832","yandex_go","ждать такси минута спускаться минута искать машина пройти выключить руль никто обернуться сверить номер подходить откинуть таксист спать итог пойти пешком яндекс",0,"Ждали такси 20 минут. Спускаемся через минут 5,ищем машину,сначала прошли мимо неё,потому что она была выключена и за рулем никого нет. Потом обернулись,сверили номер,подходим,а там откинутый назад таксист спит. В итоге пошли пешком. Яндекс ❤️",NikkiFuture
"Jan 1, 2021 @ 05:53:34.000","1,344,833,292,944,760,832","yandex_go","домашний уютный диван думать удобнее подскажете деталь заказ номер телефон напомнить водитель выспаться выйти работа",1,"@NikkiFuture Да, на домашнем уютном диване, думаем, ему было бы удобнее.   Подскажете детали заказа и ваш номер телефона? Хотим напомнить водителю, что лучше выспаться и выйти на работу, чем нет.","yandex_go"
"Jan 1, 2021 @ 05:50:22.000","1,344,838,347,194,314,752","yandex_go","яндекс такси корн изменить рынок такси подумать смочь всякий проблема доехать минута поминска вернуться обратно новый мерседес",0,"Спасибо Яндекс такси за то, что в корне изменил рынок такси  Никогда бы не подумал, что смогу без всяких проблем доехать за 20 минут до НГ через поминска за $3 и вернуться обратно за $6 на новом Мерседесе Е-Класса  https://t.co/jFa6GQc7KF",SwedPaul
"Jan 1, 2021 @ 07:43:12.000","1,344,866,741,952,909,312","yandex_go","испортить настроение юзай такси ущерб нету отдельный акка такси яндекс гоу лола покемон приехать безнал поехать уехать охуеть гайс метод эпоха предприимчевой деятельность",0,"Хочешь испортить настроение на нг - юзай @yandex_by (такси: у этих ущербов даже нету отдельного акка под такси). Яндекс.Гоу(лол, покемоны): приехал-&gt;""за безнал не поеду""-&gt;уехал-&gt;деньги_списал. Охуеть бизнес-план, гайс, мне бы ваши методы в эпоху моей предприимчевой деятельности","Space_Bastard"
"Jan 1, 2021 @ 08:28:55.000","1,344,866,741,952,909,312","yandex_go","здравствовать должный написать деталь ситуация разобраться выйти","0.5","@Space_Bastard @yandex_by Здравствуйте! Такого быть не должно. Напишите, пожалуйста, детали ситуации нам в DM — мы разберёмся, почему так вышло.","yandex_go"
"Jan 1, 2021 @ 08:10:07.000","1,344,873,516,546,584,576","yandex_go","утро утащить кися домой лечь кроватка хер плавать машина яндекс такси наличка аааааааа",0,"8 утра. Можно мне просто утащить кисю домой и лечь в кроватку? Хер там плавал - машин нет в Яндекс.такси, а налички на что-то другое у нас тоже нет. Аааааааа","____Nox"
"Jan 1, 2021 @ 08:12:01.000","1,344,873,994,667,892,736","yandex_go","понимать такси город руб яндекс идти нахуй",0,"Не, я все понимаю, но 2,5 км на такси по городу за 384руб Яндекс иди нахуй","ryjii_zamorysh"
"Jan 1, 2021 @ 11:17:43.000","1,344,920,727,988,875,264","yandex_go","яндекс такси давать решить вопросик водитель выгнать машина деньги списать",0,"Яндекс такси давайте решим вопросик нас водитель выгнал из машины и деньги списали 🙏🏻🥰",abususinbaccho
"Jan 1, 2021 @ 11:29:50.000","1,344,920,727,988,875,264","yandex_go","здравствовать шок поведение водитель трудный написать заказ подсказать номер телефон приложение ждать разумеется оставить",0,"@abususinbaccho Здравствуйте! Мы сейчас просто в шоке от такого поведения водителя!  Если не трудно, то напишите нам об этом заказе и подскажите ваш номер телефона из приложения. А мы уже ждём вас в DM и просто так этого, разумеется, не оставим!","yandex_go"
"Jan 1, 2021 @ 11:45:11.000","1,344,927,640,621,379,584","yandex_go","новогодний ночь брест столкнуться автомобиль такси яндекс повезти самый доходный водитель ночь неприятность дтп произойти январь брест",0,"В новогоднюю ночь в Бресте столкнулись два автомобиля такси, оба Яндекс     https://t.co/gdoYv3lvY5  Не повезло, самая доходная для водителей ночь, и такая неприятность. ДТП произошло сегодня, 1 января 2021 года в Бресте на ул.  #brest_by",VirtualBrest
"Jan 1, 2021 @ 11:55:36.000","1,344,930,260,060,672,000","yandex_go","такси встретить новогодний","0.5","Такси нас встретило такое новогоднее @Uber_Russia  https://t.co/pa3VEJeGhi","stella_neo"
"Jan 1, 2021 @ 12:45:43.000","1,344,942,872,047,579,136","yandex_go","дед списывать такси яндекс балл париться",0,"дед: списывает на такси яндекс баллы и не парится","paolo_pash"
"Jan 1, 2021 @ 13:38:18.000","1,344,947,819,161,866,240","yandex_go","здравствовать написать личный сообщение деталь поездка помочь","0.5","@amapola_sola Здравствуйте! Напишите нам в личные сообщения детали поездки, пожалуйста. Очень хотим помочь.","yandex_go"
"Jan 1, 2021 @ 19:24:07.000","1,344,947,916,230,823,936","yandex_go","друг яндекс такси вызов таксист телефонный звонок",0,"@loviroyal @Yourchenko_ Друг, это не яндекс такси, это вызов таксиста по телефонному звонку...",luciferuzzzz
"Jan 1, 2021 @ 13:26:08.000","1,344,952,161,948,598,272","yandex_go","здравствовать жаль слышать давать найти заказ идти речь посмотреть водитель понадобиться примерный номер оформить ждать подробность постараться проверить",0,"@kzrzeed Здравствуйте! Очень жаль это слышать :( Давайте мы найдём заказы, о которых идёт речь и посмотрим, что это были за водители. На понадобится только  примерное их время и номер, с которого они были оформлены. Уже ждём вас в DM со всеми подробностями и постараемся всё проверить.","Uber_Russia"
"Jan 1, 2021 @ 13:42:31.000","1,344,957,168,508,924,160","yandex_go","разрешиться водитель связаться самостоятельно вообще супер отстранять собираться сделать отбой",1,"Всё разрешилось, с водителем связались самостоятельно, он вообще супер, за что вы там его отстранять собираетесь, эй @yandex_go , как сделать отбой  https://t.co/ZzOvFFCdCb","_holy_oly"
"Jan 1, 2021 @ 15:11:33.000","1,344,979,569,066,041,344","yandex_go","кстати яндекс случайно забить вообще адрес бывший улица достык таксист повезти отель нужный ехать такси полтора час снять","0.5","Кстати,. Яндекс случайно забил вообще другой адрес, где бывшая улица достык. И потом таксист нас повёз в наш отель куда нужно. Мы ехали в такси полтора часа. И ОН СНЯЛ 3К !!","JUNGWONcatboy_"
"Jan 1, 2021 @ 15:13:12.000","1,344,979,989,461,139,456","yandex_go","промокод invedaeragbdpk давать скидка руб заказ лавка доставка продукт скидка нужный заказать прямо яндекс такси приложение яндекс еда набрать продукт промокод сработать","0.5","Вот промокод: INVEDAERAGBDPK. Он даёт скидку 300 руб. на первый заказ в Лавке. Это доставка продуктов. Для скидки нужно заказать прямо через Яндекс.Такси или в приложении Яндекс.Еда и набрать продуктов на 700₽, а то промокод не сработает:  https://t.co/16Rpy4QsaT",kokosolapiy
"Jan 1, 2021 @ 15:53:30.000","1,344,990,129,404,965,120","yandex_go","яндекс такси медленно медленно становиться ппц дорогой",0,"Яндекс такси медленно медленно становится ппц дорогим",bvrntsv
"Jan 1, 2021 @ 16:35:37.000","1,344,999,874,870,316,800","yandex_go","здравствовать пользователь водитель видеть поставить оценка стоить отметить рейтинг пользователь влиять использование сервис инструмент взаимный уважение",1,"@Bes_Serg Здравствуйте! Ни пользователи, ни водители не видят, кто поставил оценку. Стоит отметить, что рейтинг пользователя не влияет на использование вами сервиса. Это просто инструмент взаимного уважения :)","yandex_go"
"Jan 1, 2021 @ 16:32:13.000","1,344,999,874,870,316,800","yandex_go","похоже водитель ставить низкий оценка указать водитель маска поставить оценка водитель далее кстати низкий оценка выше тариф",0,"@yandex_go похоже водители ставят низкие оценки тем, кто указал, что водитель без маски, не поставил оценку водителю и т.д 😁 Кстати для чего это? Ниже оценка выше тариф?","Bes_Serg"
"Jan 1, 2021 @ 16:38:00.000","1,345,001,328,045,650,176","yandex_go","эмма яндекс видимо решить заняться благотворительность доставить такси кениг ебург рубль",1,"Эмм)) А вот Яндекс видимо решил заняться благотворительностью и доставить меня на такси из Кёнига в Ёбург за 140 рублей)))😀  https://t.co/Nvmm9vDSO4","Cinz_o"
"Jan 1, 2021 @ 17:16:17.000","1,345,010,964,085,825,536","yandex_go","решить поехать домой такси существовать яндекс ситимобил вообще никто тишина",0,"Решил поехать домой, такси просто НЕ СУЩЕСТВУЕТ.  Ни Яндекс, ни Ситимобил, вообще никого.   Тишина...",nerosore
"Jan 1, 2021 @ 17:39:25.000","1,345,016,470,946,934,784","yandex_go","типо яндекс такси написать написать водитель солнышко аааааа рыдаю ответить",0,"Ну типо в Яндекс такси написано что можно что-то написать а я.. ну... Водитель солнышко............ АААААА Я РЫДАЮ МНЕ ОТВЕТИЛИ ЗАЧЕМ МНЕ СТЫДНО😭😭😭","trans_ebaniy"
"Jan 1, 2021 @ 18:04:46.000","1,345,023,163,730,681,856","yandex_go","дождь санктпетербург слеза цена яндекс такси","0.5","Это не дожди в санктпетербурге это мои слезы из-за цен на яндекс такси",iamaeroplanes
"Jan 1, 2021 @ 18:55:59.000","1,345,034,107,525,488,640","yandex_go","здравствовать написать подробность проверить","0.5","@criggermarg Здравствуйте! Напишите, пожалуйста, нам в DM, все подробности. Все проверим.","yandex_go"
"Jan 1, 2021 @ 19:34:55.000","1,345,045,850,611,994,624","yandex_go","новогодний праздник показать яндекс такси наебать водить пассажир",1,"Новогодние праздники показали, что Яндекс такси наебал не только водил, но и нас, пассажиров)","hroniki_himer"
"Jan 1, 2021 @ 19:49:50.000","1,345,049,605,814,292,480","yandex_go","такси январь пионерка уралмаш обойтись рубль машина блевануть сделать считать адекватный реакция цена яндекстакси",1,"Такси 1 января с пионерки до Уралмаша обошлось в 462 рубля . В машине я чуть не блеванул. Но если бы я это сделал , то это можно бы считать адекватной реакцией на такие цены ! #яндекстакси",pechenkin17
"Jan 1, 2021 @ 20:45:58.000","1,345,063,730,963,488,768","yandex_go","отписаться яндекс плюс переплачивать такси советовать сделать самый",1,"Отписался от Яндекс Плюс и всем, кто переплачивает за такси советую сделать тоже самое 👍  https://t.co/JqNxMPaxSd","Khalikov_ruslan"
"Jan 2, 2021 @ 00:02:38.000","1,345,076,924,985,573,376","yandex_go","вовремя свалить москва большой вероятность условный джамшут яндекс такси проверить машина прочность","0.5","@rita_hidden Вовремя я свалил из Москвы. Велика вероятность что условный Джамшут из яндекс такси проверил бы мою машину на прочность.",arturik58
"Jan 1, 2021 @ 21:47:51.000","1,345,077,921,128,570,880","yandex_go","написать адрес бывать",0,"@yandex_go Написал. Но так не только с этим адресом, с другими такое тоже бывает.","shiko_1st"
"Jan 1, 2021 @ 21:45:56.000","1,345,077,921,128,570,880","yandex_go","здравствовать давать разобраться написать номер телефон привязать приложение данный адрес",0,"@shiko_1st Здравствуйте! Давайте мы во всём разберёмся. Напишите нам, пожалуйста, в DM номер телефона, который привязан в приложении и данный адрес.","yandex_go"
"Jan 2, 2021 @ 13:11:36.000","1,345,082,594,325,655,808","yandex_go","яндекс такси фирма",0,"@dalnoboyforewa2 @manya_usually Яндекс такси оно такое. В других фирм нет?","alvem_"
"Jan 2, 2021 @ 00:11:38.000","1,345,082,594,325,655,808","yandex_go","яндекс такси лохотрон хипстер сравнение яндекс такси плюс водил алкаш наркоман",0,"@dalnoboyforewa2 @manya_usually Яндекс такси лохотрон для хипстеров. Для сравнения городА-городБ яндекс 4.5т.р, другое такси 3.1 т. р плюс водилы алкаши наркоманы.",ramann96
"Jan 2, 2021 @ 12:04:48.000","1,345,082,594,325,655,808","yandex_go","город яндекс самый дорогой такси","0.5","@judgband @ninettttttttt @manya_usually @yandex Это что за город такой? У нас яндекс одно из самых дорогих такси...",nikitaljabin
"Jan 1, 2021 @ 23:55:52.000","1,345,082,594,325,655,808","yandex_go","дождь таксист охйевший автобусный остановка рубль яндекс такси","0.5","@manya_usually У нас дождь,но таксисты такие же охйевшие. 4 автобусных остановки 694 рубля. Это Яндекс такси.",dalnoboyforewa2
"Jan 1, 2021 @ 23:51:45.000","1,345,082,594,325,655,808","yandex_go","такси заказывать яндекс дорогой праздник агрегатор подешевле цена водитель устанавливать оскорблять",0,"@manya_usually А как вы такси заказываете? Если Яндекс то конечно дорого в праздники, есть агрегаторы подешевле. Цены не водители устанавливают. Зачем вы людей оскорбляете?",levdik65
"Jan 1, 2021 @ 22:09:14.000","1,345,084,685,471,379,712","yandex_go","хула яндекс заказать такси заранее определенный",0,"а хуле в яндекс го нельзя заказать такси заранее на определенное время…..","varda_avradi"
"Jan 1, 2021 @ 22:22:29.000","1,345,088,022,535,090,176","yandex_go","сообщение бывший пол беда оказываться заплатить вход мята зайти ладно узнать друг отдохнуть вызывать такси забить хуй поймать тачка борт доехать лечь спать звонить яндекс",1,"И так, сообщения от бывшей это пол беды, оказывается , заплатил за вход в мяту 50р а можно было зайти за 20 ) ну ладно.  Что там было  узнал от друга :) отдохнул я хорошо. Вызывал такси и забил на это хуй, поймал тачку от борта и за 25р  доехал, лёг спать и звонит мне Яндекс :))",JackWolkers
"Jan 1, 2021 @ 22:26:21.000","1,345,088,523,662,221,312","yandex_go","здравствовать написать номер телефон привязать приложение деталь заказ идти речь обязательно разобраться",0,"@alexeiyagodov Здравствуйте! Напишите нам, пожалуйста, в DM номер телефона, который привязан в приложении и детали заказа, о котором идёт речь. Мы обязательно во всём разберёмся.","yandex_go"
